id,Date,Weekday,User_NO,Stationery_NO,Count
188,2000-02-25,4,4,3,9
189,2000-02-25,4,1,5,1
190,2000-02-28,0,2,6,8
191,2000-03-01,2,1,5,7
192,2000-03-01,2,1,1,10
193,2000-03-01,2,2,6,1
194,2000-03-01,2,2,6,7
195,2000-03-02,3,3,6,3
196,2000-03-02,3,3,2,9
197,2000-03-02,3,2,3,9
198,2000-03-02,3,2,1,3
199,2000-03-02,3,2,5,17
200,2000-03-03,4,2,6,11
201,2000-03-03,4,2,2,3
202,2000-03-03,4,1,1,2
203,2000-03-03,4,4,5,6
204,2000-03-03,4,2,4,7
205,2000-03-06,0,2,1,3
206,2000-03-06,0,4,3,4
207,2000-03-06,0,3,6,2
208,2000-03-06,0,1,4,4
209,2000-03-06,0,1,5,3
210,2000-03-06,0,1,2,8
211,2000-03-07,1,1,1,10
212,2000-03-07,1,3,4,7
213,2000-03-07,1,2,2,4
214,2000-03-07,1,4,6,4
215,2000-03-07,1,4,5,8
216,2000-03-07,1,4,3,9
217,2000-03-08,2,4,1,2
218,2000-03-08,2,2,4,1
219,2000-03-08,2,1,6,1
220,2000-03-08,2,3,3,9
221,2000-03-09,3,4,1,16
222,2000-03-09,3,1,3,2
223,2000-03-09,3,3,6,5
224,2000-03-09,3,2,2,8
225,2000-03-09,3,3,5,2
226,2000-03-09,3,2,4,4
227,2000-03-10,4,1,3,7
228,2000-03-10,4,3,5,11
229,2000-03-13,0,4,2,6
230,2000-03-13,0,4,4,3
231,2000-03-13,0,1,3,11
232,2000-03-13,0,4,5,6
233,2000-03-13,0,1,6,8
234,2000-03-13,0,1,1,6
235,2000-03-14,1,2,1,7
236,2000-03-14,1,3,2,9
237,2000-03-14,1,2,3,7
238,2000-03-14,1,4,5,10
239,2000-03-14,1,2,4,10
240,2000-03-14,1,2,6,1
241,2000-03-15,2,3,4,15
242,2000-03-15,2,2,6,3
243,2000-03-15,2,1,3,4
244,2000-03-15,2,3,1,3
245,2000-03-15,2,2,2,3
246,2000-03-15,2,4,5,3
247,2000-03-16,3,3,5,2
248,2000-03-16,3,4,3,6
249,2000-03-16,3,2,4,16
250,2000-03-16,3,3,6,1
251,2000-03-16,3,4,2,10
252,2000-03-16,3,2,1,5
253,2000-03-17,4,2,2,13
254,2000-03-17,4,2,6,2
255,2000-03-17,4,3,3,11
256,2000-03-20,0,1,1,7
257,2000-03-20,0,4,6,2
258,2000-03-20,0,3,5,3
259,2000-03-20,0,3,3,15
260,2000-03-21,1,1,4,4
261,2000-03-21,1,3,5,2
262,2000-03-21,1,3,3,5
263,2000-03-21,1,1,2,5
264,2000-03-21,1,3,1,1
265,2000-03-22,2,2,1,1
266,2000-03-22,2,4,2,1
267,2000-03-22,2,2,3,2
268,2000-03-22,2,1,6,3
269,2000-03-22,2,3,4,6
270,2000-03-23,3,3,5,1
271,2000-03-23,3,3,4,4
272,2000-03-23,3,4,3,1
273,2000-03-23,3,2,1,7
274,2000-03-23,3,1,2,2
275,2000-03-23,3,4,6,4
276,2000-03-24,4,4,3,7
277,2000-03-24,4,1,5,8
278,2000-03-24,4,4,2,8
279,2000-03-27,0,3,4,3
280,2000-03-27,0,4,1,6
281,2000-03-27,0,3,5,1
282,2000-03-27,0,4,3,7
283,2000-03-27,0,1,6,10
284,2000-03-28,1,2,5,4
285,2000-03-28,1,4,1,16
286,2000-03-28,1,2,3,10
287,2000-03-28,1,2,2,7
288,2000-03-29,2,4,1,2
289,2000-03-29,2,2,2,2
290,2000-03-29,2,3,3,9
291,2000-03-29,2,4,6,7
292,2000-03-30,3,4,3,2
293,2000-03-30,3,3,5,2
294,2000-03-30,3,3,1,10
295,2000-03-30,3,1,2,1
296,2000-03-30,3,4,4,1
297,2000-03-31,4,1,1,1
298,2000-03-31,4,2,5,2
299,2000-03-31,4,2,4,3
300,2000-03-31,4,1,3,3
301,2000-03-31,4,3,6,4
302,2000-03-31,4,3,2,5
303,2000-04-04,1,3,4,4
304,2000-04-04,1,2,2,11
305,2000-04-04,1,1,3,5
306,2000-04-04,1,1,5,3
307,2000-04-04,1,2,1,2
308,2000-04-04,1,2,6,5
309,2000-04-05,2,2,4,4
310,2000-04-05,2,2,3,10
311,2000-04-05,2,3,2,3
312,2000-04-05,2,1,1,3
313,2000-04-05,2,3,6,9
314,2000-04-05,2,4,5,1
315,2000-04-06,3,3,2,10
316,2000-04-07,4,2,3,4
317,2000-04-07,4,4,1,2
318,2000-04-07,4,1,5,5
319,2000-04-07,4,3,4,5
320,2000-04-07,4,4,6,17
321,2000-04-07,4,3,2,5
322,2000-04-10,0,2,6,6
323,2000-04-10,0,4,3,3
324,2000-04-10,0,2,2,5
325,2000-04-10,0,1,5,1
326,2000-04-10,0,2,1,12
327,2000-04-10,0,3,4,3
328,2000-04-11,1,4,6,11
329,2000-04-11,1,1,2,4
330,2000-04-11,1,1,1,2
331,2000-04-11,1,3,3,1
332,2000-04-11,1,2,4,4
333,2000-04-12,2,2,2,16
334,2000-04-12,2,2,5,8
335,2000-04-12,2,1,4,2
336,2000-04-12,2,3,1,6
337,2000-04-12,2,2,3,12
338,2000-04-12,2,4,6,10
339,2000-04-13,3,3,4,1
340,2000-04-13,3,1,3,9
341,2000-04-13,3,1,1,3
342,2000-04-13,3,1,2,12
343,2000-04-13,3,1,5,9
344,2000-04-13,3,3,6,3
345,2000-04-14,4,3,2,6
346,2000-04-14,4,3,3,4
347,2000-04-14,4,2,6,2
348,2000-04-14,4,2,6,12
349,2000-04-14,4,2,5,5
350,2000-04-14,4,3,4,5
351,2000-04-14,4,1,1,3
352,2000-04-17,0,3,3,7
353,2000-04-17,0,4,2,11
354,2000-04-17,0,2,5,10
355,2000-04-17,0,4,4,9
356,2000-04-17,0,4,6,6
357,2000-04-17,0,2,1,12
358,2000-04-18,1,3,4,6
359,2000-04-18,1,2,2,12
360,2000-04-18,1,4,3,3
361,2000-04-18,1,3,5,4
362,2000-04-20,3,2,5,8
363,2000-04-20,3,1,2,2
364,2000-04-20,3,4,4,9
365,2000-04-20,3,3,3,4
366,2000-04-20,3,3,1,8
367,2000-04-20,3,2,6,12
368,2000-04-21,4,3,6,6
369,2000-04-21,4,2,4,1
370,2000-04-21,4,2,3,1
371,2000-04-24,0,2,6,2
372,2000-04-24,0,2,4,8
373,2000-04-24,0,3,1,8
374,2000-04-24,0,2,2,6
375,2000-04-24,0,2,5,7
376,2000-04-25,1,4,3,6
377,2000-04-25,1,4,5,5
378,2000-04-25,1,1,4,3
379,2000-04-25,1,1,2,13
380,2000-04-26,2,1,1,1
381,2000-04-26,2,3,6,6
382,2000-04-26,2,4,2,3
383,2000-04-26,2,2,4,16
384,2000-04-26,2,1,5,11
385,2000-04-26,2,1,2,3
386,2000-04-27,3,1,6,7
387,2000-04-27,3,3,5,3
388,2000-04-27,3,3,5,13
389,2000-04-27,3,1,2,8
390,2000-04-27,3,1,4,3
391,2000-04-27,3,2,3,3
392,2000-04-27,3,2,1,1
393,2000-05-01,0,3,5,4
394,2000-05-01,0,1,4,5
395,2000-05-01,0,2,3,10
396,2000-05-01,0,4,2,1
397,2000-05-01,0,2,6,12
398,2000-05-01,0,3,1,6
399,2000-05-02,1,1,6,6
400,2000-05-02,1,2,5,6
401,2000-05-02,1,1,2,10
402,2000-05-03,2,1,1,3
403,2000-05-03,2,4,1,16
404,2000-05-03,2,1,4,2
405,2000-05-03,2,4,5,14
406,2000-05-04,3,1,2,5
407,2000-05-04,3,1,6,2
408,2000-05-04,3,4,5,1
409,2000-05-05,4,2,2,5
410,2000-05-05,4,4,6,6
411,2000-05-05,4,1,4,4
412,2000-05-08,0,2,1,4
413,2000-05-08,0,4,2,5
414,2000-05-08,0,1,3,2
415,2000-05-08,0,4,4,10
416,2000-05-09,1,1,5,4
417,2000-05-09,1,1,2,3
418,2000-05-09,1,4,6,7
419,2000-05-09,1,2,4,1
420,2000-05-09,1,4,3,5
421,2000-05-09,1,3,1,16
422,2000-05-10,2,1,5,3
423,2000-05-10,2,1,1,3
424,2000-05-10,2,4,2,12
425,2000-05-10,2,2,4,10
426,2000-05-10,2,2,3,12
427,2000-05-10,2,2,6,4
428,2000-05-11,3,3,3,13
429,2000-05-11,3,1,2,4
430,2000-05-11,3,3,6,6
431,2000-05-12,4,3,1,1
432,2000-05-12,4,3,3,4
433,2000-05-12,4,4,6,1
434,2000-05-15,0,1,4,5
435,2000-05-15,0,2,1,2
436,2000-05-15,0,1,2,2
437,2000-05-15,0,2,5,5
438,2000-05-16,1,2,4,3
439,2000-05-16,1,2,6,10
440,2000-05-16,1,3,5,2
441,2000-05-16,1,2,3,15
442,2000-05-16,1,2,1,1
443,2000-05-16,1,4,1,6
444,2000-05-18,3,2,5,4
445,2000-05-18,3,3,4,5
446,2000-05-18,3,1,6,6
447,2000-05-18,3,4,1,7
448,2000-05-18,3,2,3,4
449,2000-05-18,3,3,2,3
450,2000-05-19,4,4,3,12
451,2000-05-19,4,2,5,6
452,2000-05-19,4,2,1,15
453,2000-05-19,4,2,2,1
454,2000-05-19,4,2,6,5
455,2000-05-19,4,3,4,5
456,2000-05-22,0,1,6,4
457,2000-05-22,0,2,5,7
458,2000-05-22,0,1,1,9
459,2000-05-22,0,3,2,15
460,2000-05-22,0,1,3,14
461,2000-05-24,2,4,5,9
462,2000-05-24,2,1,3,1
463,2000-05-24,2,3,2,5
464,2000-05-25,3,2,5,2
465,2000-05-25,3,3,3,3
466,2000-05-25,3,1,2,2
467,2000-05-25,3,3,4,8
468,2000-05-25,3,4,1,13
469,2000-05-25,3,2,6,2
470,2000-05-26,4,2,5,16
471,2000-05-26,4,1,3,1
472,2000-05-26,4,3,1,1
473,2000-05-26,4,3,6,4
474,2000-05-26,4,3,2,10
475,2000-05-30,1,2,5,9
476,2000-05-30,1,2,4,11
477,2000-05-30,1,3,3,8
478,2000-05-30,1,3,6,2
479,2000-05-30,1,2,2,4
480,2000-05-30,1,1,1,6
481,2000-05-31,2,4,6,5
482,2000-05-31,2,1,5,1
483,2000-05-31,2,2,3,17
484,2000-05-31,2,3,2,4
485,2000-05-31,2,3,4,2
486,2000-05-31,2,1,1,7
487,2000-06-01,3,4,5,9
488,2000-06-01,3,4,4,8
489,2000-06-01,3,3,2,1
490,2000-06-01,3,2,6,1
491,2000-06-01,3,3,1,1
492,2000-06-02,4,1,6,6
493,2000-06-02,4,3,5,4
494,2000-06-02,4,3,1,6
495,2000-06-02,4,3,2,1
496,2000-06-02,4,4,3,14
497,2000-06-02,4,1,4,1
498,2000-06-02,4,4,4,7
499,2000-06-05,0,4,5,8
500,2000-06-05,0,1,2,15
501,2000-06-06,1,1,2,12
502,2000-06-06,1,4,6,8
503,2000-06-07,2,1,1,3
504,2000-06-07,2,1,5,9
505,2000-06-07,2,3,4,1
506,2000-06-07,2,1,3,13
507,2000-06-08,3,2,5,3
508,2000-06-08,3,4,1,1
509,2000-06-08,3,2,6,5
510,2000-06-08,3,3,3,9
511,2000-06-08,3,2,4,3
512,2000-06-09,4,2,4,3
513,2000-06-09,4,4,5,7
514,2000-06-09,4,3,4,1
515,2000-06-09,4,3,2,2
516,2000-06-09,4,3,6,2
517,2000-06-09,4,1,1,5
518,2000-06-12,0,2,3,1
519,2000-06-12,0,2,1,15
520,2000-06-12,0,1,5,1
521,2000-06-12,0,2,2,6
522,2000-06-12,0,1,4,4
523,2000-06-12,0,3,6,4
524,2000-06-13,1,3,2,7
525,2000-06-13,1,2,1,2
526,2000-06-14,2,2,5,1
527,2000-06-14,2,1,3,3
528,2000-06-15,3,3,1,7
529,2000-06-15,3,1,2,6
530,2000-06-15,3,4,4,4
531,2000-06-15,3,1,5,9
532,2000-06-15,3,1,6,2
533,2000-06-15,3,3,6,8
534,2000-06-15,3,2,3,2
535,2000-06-16,4,1,5,1
536,2000-06-16,4,4,4,1
537,2000-06-16,4,2,3,6
538,2000-06-19,0,3,2,3
539,2000-06-19,0,1,1,2
540,2000-06-19,0,4,6,8
541,2000-06-19,0,3,4,13
542,2000-06-19,0,4,5,9
543,2000-06-19,0,2,3,1
544,2000-06-20,1,4,3,1
545,2000-06-20,1,4,1,2
546,2000-06-20,1,2,6,3
547,2000-06-20,1,3,5,5
548,2000-06-20,1,3,4,11
549,2000-06-20,1,2,2,1
550,2000-06-21,2,3,3,2
551,2000-06-21,2,2,1,14
552,2000-06-22,3,1,6,3
553,2000-06-22,3,4,1,7
554,2000-06-22,3,2,3,10
555,2000-06-22,3,4,4,4
556,2000-06-22,3,3,5,5
557,2000-06-23,4,4,1,1
558,2000-06-23,4,2,4,4
559,2000-06-23,4,2,2,1
560,2000-06-23,4,2,5,2
561,2000-06-23,4,2,3,4
562,2000-06-26,0,2,1,1
563,2000-06-26,0,3,3,1
564,2000-06-26,0,4,3,8
565,2000-06-26,0,3,6,7
566,2000-06-26,0,3,5,9
567,2000-06-26,0,2,4,8
568,2000-06-26,0,2,2,12
569,2000-06-27,1,2,6,3
570,2000-06-27,1,3,1,8
571,2000-06-28,2,4,6,6
572,2000-06-28,2,3,4,5
573,2000-06-28,2,3,5,17
574,2000-06-28,2,1,1,3
575,2000-06-28,2,2,2,6
576,2000-06-28,2,1,3,1
577,2000-06-29,3,3,6,5
578,2000-06-29,3,2,2,10
579,2000-06-29,3,4,4,13
580,2000-06-29,3,3,1,1
581,2000-06-29,3,2,3,11
582,2000-06-29,3,1,5,4
583,2000-06-30,4,3,5,3
584,2000-06-30,4,1,6,6
585,2000-06-30,4,4,1,6
586,2000-06-30,4,3,2,2
587,2000-06-30,4,1,3,6
588,2000-06-30,4,3,4,1
589,2000-07-03,0,3,1,5
590,2000-07-03,0,3,2,2
591,2000-07-03,0,4,6,10
592,2000-07-03,0,2,4,7
593,2000-07-03,0,3,5,10
594,2000-07-04,1,1,3,1
595,2000-07-04,1,1,5,8
596,2000-07-04,1,1,4,9
597,2000-07-04,1,1,6,2
598,2000-07-04,1,4,1,2
599,2000-07-04,1,2,2,3
600,2000-07-06,3,4,5,10
601,2000-07-06,3,2,6,5
602,2000-07-06,3,4,1,13
603,2000-07-06,3,4,4,8
604,2000-07-06,3,2,2,12
605,2000-07-07,4,4,1,3
606,2000-07-07,4,4,5,6
607,2000-07-07,4,3,3,9
608,2000-07-07,4,2,4,7
609,2000-07-07,4,3,6,4
610,2000-07-07,4,3,2,5
611,2000-07-10,0,3,5,5
612,2000-07-10,0,4,2,4
613,2000-07-10,0,2,3,10
614,2000-07-10,0,1,4,2
615,2000-07-10,0,4,1,6
616,2000-07-10,0,4,6,3
617,2000-07-11,1,3,5,13
618,2000-07-11,1,4,3,5
619,2000-07-11,1,3,6,3
620,2000-07-11,1,4,1,10
621,2000-07-11,1,3,4,7
622,2000-07-11,1,2,2,6
623,2000-07-12,2,3,4,6
624,2000-07-12,2,3,5,6
625,2000-07-12,2,1,2,6
626,2000-07-12,2,4,1,4
627,2000-07-12,2,4,6,13
628,2000-07-12,2,2,3,5
629,2000-07-13,3,3,6,5
630,2000-07-13,3,2,3,6
631,2000-07-13,3,3,2,4
632,2000-07-13,3,4,4,5
633,2000-07-13,3,4,1,1
634,2000-07-13,3,2,5,15
635,2000-07-14,4,4,2,2
636,2000-07-14,4,2,4,2
637,2000-07-14,4,3,3,7
638,2000-07-14,4,3,1,8
639,2000-07-14,4,4,5,3
640,2000-07-17,0,4,2,11
641,2000-07-17,0,3,3,8
642,2000-07-17,0,1,1,3
643,2000-07-17,0,4,5,6
644,2000-07-17,0,1,6,8
645,2000-07-17,0,2,4,7
646,2000-07-18,1,2,5,10
647,2000-07-18,1,4,6,10
648,2000-07-18,1,4,2,9
649,2000-07-18,1,4,3,7
650,2000-07-19,2,1,4,8
651,2000-07-19,2,1,5,9
652,2000-07-19,2,4,1,7
653,2000-07-19,2,2,3,3
654,2000-07-19,2,4,6,14
655,2000-07-19,2,2,2,1
656,2000-07-20,3,4,5,1
657,2000-07-20,3,1,2,5
658,2000-07-20,3,1,3,14
659,2000-07-20,3,1,1,9
660,2000-07-20,3,1,6,2
661,2000-07-20,3,4,4,14
662,2000-07-21,4,1,1,6
663,2000-07-21,4,3,3,5
664,2000-07-21,4,3,2,13
665,2000-07-21,4,2,6,6
666,2000-07-21,4,3,4,2
667,2000-07-21,4,2,5,13
668,2000-07-24,0,4,3,3
669,2000-07-24,0,2,2,3
670,2000-07-24,0,3,6,2
671,2000-07-24,0,1,5,15
672,2000-07-24,0,1,1,3
673,2000-07-25,1,2,6,1
674,2000-07-25,1,1,4,3
675,2000-07-25,1,1,2,4
676,2000-07-25,1,4,1,3
677,2000-07-25,1,4,3,8
678,2000-07-25,1,4,1,4
679,2000-07-26,2,2,6,9
680,2000-07-26,2,3,4,9
681,2000-07-26,2,2,1,2
682,2000-07-26,2,4,2,3
683,2000-07-26,2,4,5,7
684,2000-07-26,2,2,3,5
685,2000-07-27,3,2,6,18
686,2000-07-27,3,3,3,15
687,2000-07-27,3,2,5,3
688,2000-07-27,3,3,4,1
689,2000-07-27,3,2,5,2
690,2000-07-27,3,2,5,8
691,2000-07-28,4,4,4,10
692,2000-07-28,4,3,3,5
693,2000-07-28,4,4,6,6
694,2000-07-28,4,4,5,7
695,2000-07-28,4,3,2,8
696,2000-07-28,4,1,1,8
697,2000-07-31,0,4,6,7
698,2000-07-31,0,4,2,2
699,2000-07-31,0,2,1,8
700,2000-07-31,0,1,4,4
701,2000-07-31,0,1,5,2
702,2000-07-31,0,2,3,1
703,2000-08-01,1,3,4,1
704,2000-08-01,1,4,1,5
705,2000-08-01,1,4,3,2
706,2000-08-01,1,2,6,3
707,2000-08-01,1,1,5,9
708,2000-08-01,1,1,6,2
709,2000-08-01,1,1,6,2
710,2000-08-01,1,1,2,3
711,2000-08-03,3,2,2,7
712,2000-08-03,3,3,4,3
713,2000-08-03,3,1,4,4
714,2000-08-03,3,3,1,4
715,2000-08-03,3,4,6,1
716,2000-08-03,3,3,5,3
717,2000-08-03,3,4,3,5
718,2000-08-04,4,4,1,9
719,2000-08-04,4,2,4,7
720,2000-08-07,0,2,4,12
721,2000-08-07,0,3,3,9
722,2000-08-08,1,1,1,10
723,2000-08-08,1,1,3,8
724,2000-08-08,1,4,2,8
725,2000-08-08,1,4,6,1
726,2000-08-08,1,3,4,6
727,2000-08-08,1,1,5,14
728,2000-08-09,2,1,5,5
729,2000-08-09,2,4,6,14
730,2000-08-09,2,1,2,6
731,2000-08-09,2,1,1,16
732,2000-08-09,2,2,3,10
733,2000-08-10,3,2,3,8
734,2000-08-10,3,3,2,11
735,2000-08-10,3,1,1,1
736,2000-08-10,3,2,5,3
737,2000-08-10,3,4,6,18
738,2000-08-10,3,4,4,7
739,2000-08-11,4,2,4,1
740,2000-08-11,4,1,1,1
741,2000-08-11,4,3,6,11
742,2000-08-11,4,3,3,11
743,2000-08-11,4,4,2,2
744,2000-08-11,4,1,5,7
745,2000-08-14,0,4,5,1
746,2000-08-14,0,2,3,6
747,2000-08-14,0,2,4,10
748,2000-08-14,0,1,1,4
749,2000-08-15,1,2,5,3
750,2000-08-15,1,3,4,5
751,2000-08-15,1,1,2,10
752,2000-08-15,1,1,1,16
753,2000-08-15,1,4,5,9
754,2000-08-15,1,2,3,7
755,2000-08-16,2,3,1,1
756,2000-08-16,2,4,4,3
757,2000-08-16,2,3,3,13
758,2000-08-16,2,3,5,10
759,2000-08-16,2,3,2,6
760,2000-08-16,2,3,6,1
761,2000-08-17,3,2,5,3
762,2000-08-17,3,4,4,18
763,2000-08-17,3,4,3,2
764,2000-08-17,3,2,2,12
765,2000-08-17,3,3,6,8
766,2000-08-18,4,2,3,9
767,2000-08-18,4,3,2,15
768,2000-08-18,4,3,6,5
769,2000-08-18,4,4,5,5
770,2000-08-18,4,1,4,2
771,2000-08-21,0,3,1,9
772,2000-08-22,1,1,5,9
773,2000-08-22,1,4,2,6
774,2000-08-22,1,3,6,8
775,2000-08-22,1,4,1,11
776,2000-08-22,1,4,3,7
777,2000-08-22,1,3,4,2
778,2000-08-23,2,2,5,11
779,2000-08-23,2,3,1,1
780,2000-08-23,2,1,3,3
781,2000-08-23,2,1,4,1
782,2000-08-23,2,4,2,3
783,2000-08-25,4,2,1,4
784,2000-08-25,4,4,5,8
785,2000-08-25,4,2,4,1
786,2000-08-25,4,2,6,11
787,2000-08-28,0,3,2,13
788,2000-08-28,0,4,5,2
789,2000-08-28,0,2,1,8
790,2000-08-28,0,4,4,5
791,2000-08-28,0,2,3,1
792,2000-08-28,0,4,6,8
793,2000-08-29,1,1,5,11
794,2000-08-29,1,2,1,7
795,2000-08-29,1,1,2,2
796,2000-08-29,1,4,4,6
797,2000-08-29,1,3,6,4
798,2000-08-30,2,1,6,16
799,2000-08-30,2,4,5,1
800,2000-08-30,2,2,1,5
801,2000-08-31,3,3,5,6
802,2000-08-31,3,4,1,4
803,2000-08-31,3,3,4,2
804,2000-08-31,3,4,3,12
805,2000-08-31,3,2,6,5
806,2000-08-31,3,1,2,3
807,2000-08-31,3,4,2,7
808,2000-09-01,4,2,3,5
809,2000-09-01,4,1,4,3
810,2000-09-01,4,2,6,8
811,2000-09-01,4,1,4,4
812,2000-09-01,4,4,2,6
813,2000-09-04,0,3,5,5
814,2000-09-04,0,2,2,2
815,2000-09-04,0,1,6,10
816,2000-09-04,0,1,4,7
817,2000-09-05,1,3,6,3
818,2000-09-05,1,1,5,6
819,2000-09-05,1,1,1,5
820,2000-09-05,1,1,3,3
