id,Date,Weekday,User_NO,Stationery_NO,Price,Count,All_Price
206,2000-02-24,3,2,1,184973,84,15537732
207,2000-02-24,3,2,3,142065,57,8097705
208,2000-02-24,3,1,1,28258,28,791224
209,2000-02-24,3,4,6,14051,33,463683
210,2000-02-25,4,2,2,186269,91,16950479
211,2000-02-25,4,1,6,270595,37,10012015
212,2000-02-25,4,4,3,241835,84,20314140
213,2000-02-25,4,1,5,171851,48,8248848
214,2000-02-28,0,2,6,295012,88,25961056
215,2000-03-01,2,1,5,107560,59,6346040
216,2000-03-01,2,4,2,221603,78,17285034
217,2000-03-01,2,1,1,169216,69,11675904
218,2000-03-01,2,1,2,182734,29,5299286
219,2000-03-01,2,2,6,13638,21,286398
220,2000-03-01,2,2,6,40481,66,2671746
221,2000-03-02,3,3,6,66524,42,2794008
222,2000-03-02,3,3,2,271705,66,17932530
223,2000-03-02,3,2,3,274721,52,14285492
224,2000-03-02,3,2,1,240113,69,16567797
225,2000-03-02,3,2,5,134581,95,12785195
226,2000-03-03,4,2,6,120199,29,3485771
227,2000-03-03,4,3,3,83667,63,5271021
228,2000-03-03,4,2,6,296677,92,27294284
229,2000-03-03,4,2,2,66371,28,1858388
230,2000-03-03,4,1,1,2918,46,134228
231,2000-03-03,4,4,5,190483,58,11048014
232,2000-03-03,4,2,4,134550,94,12647700
233,2000-03-06,0,2,1,266660,89,23732740
234,2000-03-06,0,4,3,298778,30,8963340
235,2000-03-06,0,3,6,198506,33,6550698
236,2000-03-06,0,1,4,79230,26,2059980
237,2000-03-06,0,1,5,94313,40,3772520
238,2000-03-06,0,1,2,56056,82,4596592
239,2000-03-07,1,1,1,93588,69,6457572
240,2000-03-07,1,3,4,48641,97,4718177
241,2000-03-07,1,2,2,18056,29,523624
242,2000-03-07,1,4,6,238668,37,8830716
243,2000-03-07,1,4,5,82581,79,6523899
244,2000-03-07,1,4,3,286340,77,22048180
245,2000-03-08,2,2,4,188188,62,11667656
246,2000-03-08,2,4,1,101162,35,3540670
247,2000-03-08,2,2,4,67133,29,1946857
248,2000-03-08,2,1,6,213291,41,8744931
249,2000-03-08,2,3,3,184855,51,9427605
250,2000-03-08,2,3,3,87148,52,4531696
251,2000-03-09,3,4,1,236304,89,21031056
252,2000-03-09,3,1,3,41390,44,1821160
253,2000-03-09,3,3,6,23775,72,1711800
254,2000-03-09,3,2,2,50766,62,3147492
255,2000-03-09,3,3,5,196739,57,11214123
256,2000-03-09,3,2,4,13443,35,470505
257,2000-03-10,4,1,3,163326,91,14862666
258,2000-03-10,4,3,5,109461,99,10836639
259,2000-03-10,4,2,6,231317,70,16192190
260,2000-03-10,4,4,4,107455,22,2364010
261,2000-03-13,0,4,2,187567,61,11441587
262,2000-03-13,0,2,1,73811,34,2509574
263,2000-03-13,0,4,4,249470,71,17712370
264,2000-03-13,0,1,3,172561,66,11389026
265,2000-03-13,0,4,5,274114,68,18639752
266,2000-03-13,0,1,6,249995,54,13499730
267,2000-03-13,0,1,1,256846,47,12071762
268,2000-03-14,1,2,1,133092,61,8118612
269,2000-03-14,1,3,2,68767,86,5913962
270,2000-03-14,1,2,3,18140,54,979560
271,2000-03-14,1,4,5,215323,75,16149225
272,2000-03-14,1,2,4,246511,99,24404589
273,2000-03-14,1,2,6,263035,58,15256030
274,2000-03-15,2,3,4,8840,98,866320
275,2000-03-15,2,2,6,10541,46,484886
276,2000-03-15,2,1,3,43050,39,1678950
277,2000-03-15,2,3,1,253422,73,18499806
278,2000-03-15,2,2,2,283690,87,24681030
279,2000-03-15,2,4,5,112737,91,10259067
280,2000-03-16,3,3,5,53576,24,1285824
281,2000-03-16,3,4,3,241768,97,23451496
282,2000-03-16,3,2,4,277205,98,27166090
283,2000-03-16,3,3,6,286873,34,9753682
284,2000-03-16,3,4,2,194384,93,18077712
285,2000-03-16,3,2,1,43992,35,1539720
286,2000-03-17,4,2,2,162651,76,12361476
287,2000-03-17,4,2,6,48466,73,3538018
288,2000-03-17,4,3,3,289751,83,24049333
289,2000-03-17,4,4,5,148285,68,10083380
290,2000-03-20,0,1,1,90448,64,5788672
291,2000-03-20,0,4,6,250033,61,15252013
292,2000-03-20,0,3,4,211583,74,15657142
293,2000-03-20,0,3,5,139902,40,5596080
294,2000-03-20,0,3,3,237191,82,19449662
295,2000-03-21,1,1,4,132777,56,7435512
296,2000-03-21,1,3,5,100628,24,2415072
297,2000-03-21,1,1,1,119398,56,6686288
298,2000-03-21,1,3,3,233882,44,10290808
299,2000-03-21,1,1,2,31184,69,2151696
300,2000-03-21,1,3,1,245279,22,5396138
301,2000-03-22,2,2,1,206138,43,8863934
302,2000-03-22,2,4,2,299310,35,10475850
303,2000-03-22,2,2,3,36036,37,1333332
304,2000-03-22,2,3,6,7281,22,160182
305,2000-03-22,2,1,6,44352,40,1774080
306,2000-03-22,2,3,4,244177,74,18069098
307,2000-03-23,3,3,5,171681,37,6352197
308,2000-03-23,3,3,4,110244,32,3527808
309,2000-03-23,3,2,3,185393,62,11494366
310,2000-03-23,3,4,3,66610,35,2331350
311,2000-03-23,3,4,2,263745,94,24792030
312,2000-03-23,3,2,1,141423,83,11738109
313,2000-03-23,3,1,2,297087,88,26143656
314,2000-03-23,3,4,6,240548,52,12508496
315,2000-03-24,4,4,3,219925,92,20233100
316,2000-03-24,4,1,5,116028,54,6265512
317,2000-03-24,4,4,2,124709,90,11223810
318,2000-03-27,0,3,4,189467,68,12883756
319,2000-03-27,0,4,1,58716,48,2818368
320,2000-03-27,0,3,5,198880,25,4972000
321,2000-03-27,0,2,3,293836,79,23213044
322,2000-03-27,0,4,3,272229,42,11433618
323,2000-03-27,0,1,6,176178,91,16032198
324,2000-03-28,1,2,5,184810,49,9055690
325,2000-03-28,1,4,1,256610,86,22068460
326,2000-03-28,1,2,3,222321,61,13561581
327,2000-03-28,1,2,2,7301,90,657090
328,2000-03-29,2,4,1,292316,91,26600756
329,2000-03-29,2,2,2,194801,36,7012836
330,2000-03-29,2,3,3,215559,94,20262546
331,2000-03-29,2,4,4,15845,58,919010
332,2000-03-29,2,2,4,136704,37,5058048
333,2000-03-29,2,4,6,29615,53,1569595
334,2000-03-30,3,4,3,182273,21,3827733
335,2000-03-30,3,4,3,119545,38,4542710
336,2000-03-30,3,3,5,143833,39,5609487
337,2000-03-30,3,3,1,66233,65,4305145
338,2000-03-30,3,1,2,191567,49,9386783
339,2000-03-30,3,4,4,109878,39,4285242
340,2000-03-31,4,1,1,111614,23,2567122
341,2000-03-31,4,2,5,63690,70,4458300
342,2000-03-31,4,2,4,36781,45,1655145
343,2000-03-31,4,1,3,10941,46,503286
344,2000-03-31,4,3,6,79726,50,3986300
345,2000-03-31,4,3,2,155366,76,11807816
346,2000-04-04,1,3,4,19171,29,555959
347,2000-04-04,1,2,2,33794,64,2162816
348,2000-04-04,1,1,3,248411,39,9688029
349,2000-04-04,1,1,5,50751,46,2334546
350,2000-04-04,1,2,1,274347,69,18929943
351,2000-04-04,1,2,6,76533,90,6887970
352,2000-04-05,2,2,4,80942,76,6151592
353,2000-04-05,2,2,3,83171,95,7901245
354,2000-04-05,2,3,2,66321,93,6167853
355,2000-04-05,2,1,1,262598,38,9978724
356,2000-04-05,2,3,6,137132,74,10147768
357,2000-04-05,2,4,5,150154,22,3303388
358,2000-04-06,3,3,2,295902,59,17458218
359,2000-04-07,4,2,3,79086,26,2056236
360,2000-04-07,4,4,1,70900,57,4041300
361,2000-04-07,4,1,5,197059,87,17144133
362,2000-04-07,4,3,4,229836,42,9653112
363,2000-04-07,4,4,6,89014,90,8011260
364,2000-04-07,4,3,2,244563,33,8070579
365,2000-04-10,0,2,6,91600,36,3297600
366,2000-04-10,0,1,1,130053,32,4161696
367,2000-04-10,0,4,3,284568,35,9959880
368,2000-04-10,0,4,1,46371,62,2875002
369,2000-04-10,0,2,2,177607,93,16517451
370,2000-04-10,0,1,5,284536,29,8251544
371,2000-04-10,0,2,1,204430,67,13696810
372,2000-04-10,0,3,4,285443,80,22835440
373,2000-04-11,1,4,6,253225,84,21270900
374,2000-04-11,1,1,2,207420,34,7052280
375,2000-04-11,1,4,5,196734,81,15935454
376,2000-04-11,1,1,1,291866,21,6129186
377,2000-04-11,1,4,5,233710,69,16125990
378,2000-04-11,1,3,3,135162,21,2838402
379,2000-04-11,1,2,4,44746,89,3982394
380,2000-04-12,2,2,2,218026,85,18532210
381,2000-04-12,2,2,5,30569,92,2812348
382,2000-04-12,2,1,4,21087,34,716958
383,2000-04-12,2,3,1,97518,97,9459246
384,2000-04-12,2,2,3,256147,77,19723319
385,2000-04-12,2,4,6,183302,65,11914630
386,2000-04-13,3,3,4,168337,69,11615253
387,2000-04-13,3,1,3,166846,61,10177606
388,2000-04-13,3,1,1,226736,81,18365616
389,2000-04-13,3,1,2,12957,91,1179087
390,2000-04-13,3,1,5,162137,61,9890357
391,2000-04-13,3,3,6,183581,34,6241754
392,2000-04-14,4,3,2,4459,35,156065
393,2000-04-14,4,3,3,70416,47,3309552
394,2000-04-14,4,2,6,124634,22,2741948
395,2000-04-14,4,2,6,274517,75,20588775
396,2000-04-14,4,4,4,234233,64,14990912
397,2000-04-14,4,2,4,135901,48,6523248
398,2000-04-14,4,2,5,288128,38,10948864
399,2000-04-14,4,3,4,60917,47,2863099
400,2000-04-14,4,1,1,39133,60,2347980
401,2000-04-17,0,3,3,184074,55,10124070
402,2000-04-17,0,4,2,181202,78,14133756
403,2000-04-17,0,3,6,10715,23,246445
404,2000-04-17,0,2,5,235541,60,14132460
405,2000-04-17,0,4,4,269356,68,18316208
406,2000-04-17,0,4,6,65173,47,3063131
407,2000-04-17,0,2,1,4593,93,427149
408,2000-04-18,1,2,3,112201,20,2244020
409,2000-04-18,1,3,4,152151,53,8064003
410,2000-04-18,1,2,2,13148,66,867768
411,2000-04-18,1,4,3,125013,36,4500468
412,2000-04-18,1,1,1,281410,21,5909610
413,2000-04-18,1,3,5,126886,38,4821668
414,2000-04-20,3,2,5,250307,89,22277323
415,2000-04-20,3,1,2,32123,28,899444
416,2000-04-20,3,4,4,189418,57,10796826
417,2000-04-20,3,1,3,88340,27,2385180
418,2000-04-20,3,3,3,172650,61,10531650
419,2000-04-20,3,3,1,57241,84,4808244
420,2000-04-20,3,2,6,89717,96,8612832
421,2000-04-21,4,3,6,27897,74,2064378
422,2000-04-21,4,2,4,256954,75,19271550
423,2000-04-21,4,4,3,13308,45,598860
424,2000-04-21,4,2,3,151244,67,10133348
425,2000-04-24,0,2,6,121465,24,2915160
426,2000-04-24,0,3,2,202341,95,19222395
427,2000-04-24,0,2,4,94406,45,4248270
428,2000-04-24,0,3,1,257269,99,25469631
429,2000-04-24,0,2,2,295789,54,15972606
430,2000-04-24,0,2,5,37609,42,1579578
431,2000-04-24,0,3,3,161875,24,3885000
432,2000-04-25,1,4,3,79980,66,5278680
433,2000-04-25,1,4,5,46320,30,1389600
434,2000-04-25,1,1,4,281703,34,9577902
435,2000-04-25,1,1,2,42965,82,3523130
436,2000-04-26,2,1,1,126736,63,7984368
437,2000-04-26,2,3,6,260733,49,12775917
438,2000-04-26,2,4,2,97015,22,2134330
439,2000-04-26,2,2,4,163865,92,15075580
440,2000-04-26,2,4,3,60164,76,4572464
441,2000-04-26,2,1,5,68824,67,4611208
442,2000-04-26,2,1,2,68416,33,2257728
443,2000-04-26,2,1,3,137455,43,5910565
444,2000-04-27,3,4,4,20984,28,587552
445,2000-04-27,3,3,4,114803,38,4362514
446,2000-04-27,3,1,6,229369,62,14220878
447,2000-04-27,3,3,5,47605,22,1047310
448,2000-04-27,3,3,5,134663,74,9965062
449,2000-04-27,3,1,2,144044,96,13828224
450,2000-04-27,3,1,4,199979,89,17798131
451,2000-04-27,3,4,1,244426,51,12465726
452,2000-04-27,3,4,1,274970,53,14573410
453,2000-04-27,3,2,3,7638,71,542298
454,2000-04-27,3,2,1,42031,64,2689984
455,2000-05-01,0,3,5,25276,96,2426496
456,2000-05-01,0,1,4,183790,40,7351600
457,2000-05-01,0,2,3,230481,84,19360404
458,2000-05-01,0,4,2,64710,22,1423620
459,2000-05-01,0,2,6,92523,80,7401840
460,2000-05-01,0,3,1,239230,42,10047660
461,2000-05-02,1,1,6,78030,73,5696190
462,2000-05-02,1,2,5,139584,51,7118784
463,2000-05-02,1,1,2,48330,68,3286440
464,2000-05-03,2,1,1,81461,20,1629220
465,2000-05-03,2,4,1,284863,42,11964246
466,2000-05-03,2,1,5,163471,52,8500492
467,2000-05-03,2,4,1,116953,96,11227488
468,2000-05-03,2,1,4,134468,77,10354036
469,2000-05-03,2,4,5,132704,75,9952800
470,2000-05-04,3,1,2,289323,53,15334119
471,2000-05-04,3,1,6,63644,63,4009572
472,2000-05-04,3,4,5,29995,63,1889685
473,2000-05-05,4,2,2,31932,35,1117620
474,2000-05-05,4,4,6,56567,45,2545515
475,2000-05-05,4,1,4,124721,51,6360771
476,2000-05-08,0,2,2,232359,39,9062001
477,2000-05-08,0,2,1,23787,43,1022841
478,2000-05-08,0,4,2,235021,71,16686491
479,2000-05-08,0,1,3,58533,57,3336381
480,2000-05-08,0,4,4,98157,81,7950717
481,2000-05-09,1,1,5,150732,31,4672692
482,2000-05-09,1,1,2,243426,56,13631856
483,2000-05-09,1,1,1,45728,73,3338144
484,2000-05-09,1,4,6,198865,69,13721685
485,2000-05-09,1,3,1,284956,91,25930996
486,2000-05-09,1,2,4,75844,43,3261292
487,2000-05-09,1,4,3,273787,47,12867989
488,2000-05-09,1,3,1,254471,95,24174745
489,2000-05-10,2,1,5,231737,48,11123376
490,2000-05-10,2,1,1,9361,76,711436
491,2000-05-10,2,4,2,76090,68,5174120
492,2000-05-10,2,2,4,157533,80,12602640
493,2000-05-10,2,2,3,203018,82,16647476
494,2000-05-10,2,2,6,42508,25,1062700
495,2000-05-11,3,3,3,122659,96,11775264
496,2000-05-11,3,1,2,93210,52,4846920
497,2000-05-11,3,3,6,37558,46,1727668
498,2000-05-12,4,3,1,137785,27,3720195
499,2000-05-12,4,3,3,131806,86,11335316
500,2000-05-12,4,4,6,165841,76,12603916
501,2000-05-15,0,1,4,5766,54,311364
502,2000-05-15,0,2,1,32584,84,2737056
503,2000-05-15,0,4,5,18610,23,428030
504,2000-05-15,0,1,2,53975,65,3508375
505,2000-05-15,0,2,5,128179,45,5768055
506,2000-05-16,1,2,4,163154,52,8484008
507,2000-05-16,1,2,6,239450,60,14367000
508,2000-05-16,1,3,5,13998,31,433938
509,2000-05-16,1,2,3,258944,83,21492352
510,2000-05-16,1,2,1,151968,20,3039360
511,2000-05-16,1,4,1,164053,89,14600717
512,2000-05-18,3,2,5,152386,29,4419194
513,2000-05-18,3,3,4,233125,38,8858750
514,2000-05-18,3,1,6,157377,35,5508195
515,2000-05-18,3,4,1,126195,49,6183555
516,2000-05-18,3,2,3,218570,31,6775670
517,2000-05-18,3,3,2,124296,53,6587688
518,2000-05-19,4,3,6,295953,20,5919060
519,2000-05-19,4,4,3,152338,74,11273012
520,2000-05-19,4,2,5,177869,87,15474603
521,2000-05-19,4,3,4,165486,64,10591104
522,2000-05-19,4,2,1,41865,96,4019040
523,2000-05-19,4,2,2,89342,47,4199074
524,2000-05-19,4,2,6,92413,60,5544780
525,2000-05-19,4,3,4,44485,96,4270560
526,2000-05-22,0,3,6,251187,34,8540358
527,2000-05-22,0,1,6,270994,58,15717652
528,2000-05-22,0,2,5,228494,45,10282230
529,2000-05-22,0,1,1,292205,74,21623170
530,2000-05-22,0,3,2,218063,99,21588237
531,2000-05-22,0,1,3,4478,80,358240
532,2000-05-24,2,1,1,216173,51,11024823
533,2000-05-24,2,4,5,128255,78,10003890
534,2000-05-24,2,4,6,133972,45,6028740
535,2000-05-24,2,1,3,158660,30,4759800
536,2000-05-24,2,3,2,297754,52,15483208
537,2000-05-25,3,2,5,171640,67,11499880
538,2000-05-25,3,3,3,214703,39,8373417
539,2000-05-25,3,1,2,33528,72,2414016
540,2000-05-25,3,3,4,205130,67,13743710
541,2000-05-25,3,1,1,203747,29,5908663
542,2000-05-25,3,4,1,274057,74,20280218
543,2000-05-25,3,1,6,131542,75,9865650
544,2000-05-25,3,2,6,189935,87,16524345
545,2000-05-26,4,2,5,289186,89,25737554
546,2000-05-26,4,1,3,125679,68,8546172
547,2000-05-26,4,3,1,139147,46,6400762
548,2000-05-26,4,3,2,235939,72,16987608
549,2000-05-26,4,3,6,186889,50,9344450
550,2000-05-26,4,3,2,10756,85,914260
551,2000-05-30,1,2,5,193576,84,16260384
552,2000-05-30,1,2,4,259917,99,25731783
553,2000-05-30,1,3,3,14474,54,781596
554,2000-05-30,1,3,6,249605,41,10233805
555,2000-05-30,1,3,6,209920,25,5248000
556,2000-05-30,1,2,2,279635,31,8668685
557,2000-05-30,1,1,1,165082,66,10895412
558,2000-05-31,2,4,6,237100,77,18256700
559,2000-05-31,2,3,5,99548,89,8859772
560,2000-05-31,2,1,5,76358,58,4428764
561,2000-05-31,2,2,3,52100,91,4741100
562,2000-05-31,2,3,2,206533,62,12805046
563,2000-05-31,2,3,4,19076,30,572280
564,2000-05-31,2,2,1,14217,99,1407483
565,2000-05-31,2,3,4,36401,25,910025
566,2000-05-31,2,1,1,32614,57,1858998
567,2000-06-01,3,4,5,21701,59,1280359
568,2000-06-01,3,4,4,112543,99,11141757
569,2000-06-01,3,3,2,113968,30,3419040
570,2000-06-01,3,1,6,266255,40,10650200
571,2000-06-01,3,2,6,119188,24,2860512
572,2000-06-01,3,3,1,220075,53,11663975
573,2000-06-02,4,4,5,263927,82,21642014
574,2000-06-02,4,4,1,102623,77,7901971
575,2000-06-02,4,4,2,135065,94,12696110
576,2000-06-02,4,1,6,278936,72,20083392
577,2000-06-02,4,3,5,220282,87,19164534
578,2000-06-02,4,3,1,153440,67,10280480
579,2000-06-02,4,3,2,160676,26,4177576
580,2000-06-02,4,4,3,221684,76,16847984
581,2000-06-02,4,1,4,43694,21,917574
582,2000-06-02,4,4,4,219781,68,14945108
